Start  Time: 2018/11/20, 15:44:06.713
Export Time: 2018/11/20, 15:44:18.447
Min  (dB468):   37.8
Max  (dB468):   96.3
Peak (dB468):   105.8
Avg  (dB468):   83.9
TWA  (dB468):   54.8
Dose (%):    69.5

Recorded Value (dB468),Response Time (seconds)
50.5,0.2
39.3,0.2
42.8,0.2
54.6,0.2
53.0,0.2
61.0,0.2
61.5,0.2
49.9,0.2
48.1,0.2
47.7,0.2
53.0,0.2
59.9,0.2
56.3,0.2
46.9,0.2
40.2,0.2
38.9,0.2
39.7,0.2
87.7,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
88.3,0.2
79.7,0.2
45.1,0.2
47.9,0.2
61.2,0.2
57.9,0.2
63.5,0.2
51.4,0.2
41.4,0.2
41.3,0.2
55.2,0.2
51.4,0.2
65.0,0.2
72.0,0.2
54.6,0.2
57.8,0.2
63.4,0.2
66.9,0.2
68.7,0.2
65.2,0.2
59.7,0.2
96.3,0.2
67.3,0.2
76.8,0.2
72.8,0.2
74.1,0.2
77.4,0.2
57.3,0.2
41.2,0.2
45.7,0.2
42.4,0.2
39.4,0.2
39.2,0.2
42.7,0.2
48.5,0.2
44.3,0.2
39.4,0.2
65.2,0.2
71.7,0.2
73.6,0.2
66.0,0.2
62.7,0.2
62.6,0.2
68.3,0.2
53.0,0.2
65.5,0.2
51.4,0.2
50.8,0.2
57.6,0.2
50.9,0.2
41.4,0.2
40.0,0.2
40.7,0.2
42.0,0.2
38.6,0.2
71.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.4,0.2
79.1,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.2,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
79.1,0.2
75.7,0.2
37.8,0.2
52.9,0.2
48.1,0.2
45.7,0.2
72.8,0.2
60.5,0.2
72.6,0.2
60.5,0.2
63.6,0.2
44.4,0.2
42.7,0.2
41.7,0.2
45.0,0.2
